Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Strongman Sandbag Shoulder Alternating Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Strongman Sandbag,1,,,Standing,Single Arm,Continuous,Neutral,Shoulder,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Strongman Sandbag Shoulder Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Strongman Sandbag,1,,,Walking,Single Arm,Continuous,Neutral,Shoulder,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Strongman Sandbag Shoulder Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Strongman Sandbag,1,,,Standing,Double Arm,Continuous,,Shoulder,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Strongman Sandbag Over the Shoulder,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Strongman Sandbag,1,,,Standing,Double Arm,Continuous,,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Strongman Sandbag Alternating Shoulder Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Strongman Sandbag,1,,,Standing,Double Arm,Continuous,,Shoulder,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Strongman Sandbag Alternating Over the Shoulder,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Strongman Sandbag,1,,,Standing,Double Arm,Continuous,,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Strongman Sandbag Bear Hug Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Strongman Sandbag,1,,,Walking,Double Arm,Continuous,Bear Hug,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Double Dumbbell Turkish Get Up,,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,2,,,Supine,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,
Alternating Single Arm Clubbell Mill,,,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,,,Standing,Single Arm,Alternating,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Bodyweight Hand Assisted Sissy Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Standing,Double Arm,Continuous,Hand Assisted,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Sissy Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Hand Assisted Knee Over Toes Split Squat,,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,0,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Hand Assisted,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Superband Sissy Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband,1,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Walking,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,,,Walking,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,,,Walking,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,,,Walking,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Walking,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Walking,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Walking,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Walking,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Walking,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Walking Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Walking,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Order Walking Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,2,,,Walking,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Order Walking Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Walking,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Order Walking Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Walking,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Front Flag Hold Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,2,,,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Front Flag Hold Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Walking,Single Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbbell Front Flag Hold Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Bodyweight Box Jumps,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,0,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Bodyweight Lateral Box Jumps,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,0,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Bodyweight Alternating Lateral Box Jumps,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,0,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Bilateral,Plyometric
Bodyweight Straddle Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Macebell Alternating 360 to Ballistic Curl,Video Demonstration,,Intermediate,Shoulders,Posterior Deltoids,Biceps Brachii,Rectus Abdominis,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Suspension Pelican Curl,,,Advanced,Biceps,Biceps Brachii,Pectoralis Major,Brachioradialis,Suspension Trainer,1,,,Standing,Double Arm,Continuous,Supinated,No Load,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Single Arm Kettlebell Bottoms Up Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Suspension Ipsilateral Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,,,Single Leg Standing,Single Arm,Continuous,Neutral,No Load,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,
Kettlebell Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Kettlebell Single Leg Romanian Deadlift,,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Unilateral,Bodybuilding
Double Dumbbell Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Kettlebell Arm Bar,Video Demonstration,Video Explanation,Novice,Shoulders,Infraspinatus,Subscapularis,Obliques,Kettlebell,1,,,Supine,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Other,Compound,Unilateral,Mobility
Single Arm Kettlebell Bottoms Up Arm Bar,Video Demonstration,Video Explanation,Intermediate,Shoulders,Infraspinatus,Subscapularis,Obliques,Kettlebell,1,,,Supine,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Other,Compound,Unilateral,Mobility
Single Arm Kettlebell Bottoms Up Arm Bar Rotation,Video Demonstration,,Intermediate,Shoulders,Infraspinatus,Subscapularis,Obliques,Kettlebell,1,,,Supine,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Other,Compound,Unilateral,Mobility
Barbell Zercher Carry,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell,1,,,Walking,Double Arm,Continuous,No Grip,Other,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Alternating Double Dumbbell Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Flat),1,Supine,Double Arm,Alternating,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Incline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Incline),1,Supine,Double Arm,Alternating,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Top Down Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Flat),1,Supine,Double Arm,Alternating,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Top Down Incline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Incline),1,Supine,Double Arm,Alternating,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Top Down Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,2,Bench (Decline),1,Supine,Double Arm,Alternating,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Box Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Box Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Box Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Box Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Box Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Barbell Overhead Alternating Box Step Up,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Box Step Up,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Alternating Box Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Box Step Up,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Box Step Up to Single Leg Balance,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Plyo Box,1,Single Leg Standing,Single Arm,Continuous,Neutral,Front Rack,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Barbell Overhead Box Step Up to Single Leg Balance,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Single Leg Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Barbell Front Rack Box Step Up to Single Leg Balance,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Single Leg Standing,Double Arm,Continuous,Pronated,Front Rack,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Barbell Back Rack Box Step Up to Single Leg Balance,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Plyo Box,1,Single Leg Standing,Double Arm,Continuous,Pronated,Back Rack,Combo Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Double Dumbbell Overhead Alternating Box Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Box Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Box Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Box Step Up,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Box Step Up,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Contralateral Box Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Box Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Box Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,Plyo Box,1,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Box Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Box Step Up,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Plyo Box,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
